"","x","y","cell","Alder","Ash","Bald cypress","Basswood","Beech","Birch","Black gum","Black gum/sweet gum","Buckeye","Cherry","Chestnut","Dogwood","Elm","Hackberry","Hickory","Ironwood","Locust","Maple","Mulberry","No tree","Oak","Other hardwood","Poplar","Poplar/tulip poplar","Sweet gum","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"98",469000,158000,49500,0,9,0,0,0,0,0,5,0,0,0,6,13,0,22,0,1,7,1,7,102,3,0,0,1,0,0,0,0,0,2
"99",469000,254000,45948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"100",469000,278000,45060,0,0,0,2,0,0,0,0,0,0,0,0,6,1,3,0,0,0,1,162,33,1,0,0,0,0,0,0,0,1,0
"101",469000,318000,43580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0
"102",469000,326000,43284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,205,2,0,0,0,0,0,0,0,0,0,0
"103",469000,462000,38252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0
"104",469000,550000,34996,0,0,0,1,0,0,0,0,1,0,0,0,4,0,3,0,0,2,0,159,23,0,2,0,0,0,0,0,0,2,0
"105",469000,574000,34108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,206,8,0,0,0,0,0,0,0,0,0,0
"106",469000,614000,32628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,168,21,0,0,0,0,0,0,0,0,0,0
"107",469000,662000,30852,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0
"108",477000,102000,51573,0,17,2,0,0,4,5,25,0,0,0,7,24,0,13,0,0,13,0,18,34,2,0,7,1,0,0,0,2,0,0
"109",477000,206000,47725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,61,136,0,0,0,0,4,0,0,0,0,0
"110",477000,246000,46245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212,2,1,0,0,0,0,0,0,0,0,0
"111",477000,254000,45949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112",477000,342000,42693,0,0,0,0,0,0,0,0,0,0,0,0,15,1,6,0,2,0,0,143,37,0,0,0,0,3,0,0,0,2,0
"113",477000,366000,41805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
"114",477000,462000,38253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,143,46,0,0,0,0,0,0,0,0,1,0
"115",477000,470000,37957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0
"116",477000,526000,35885,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,171,28,0,0,0,0,1,0,0,2,1,0
"117",477000,662000,30853,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,96,97,1,0,0,0,0,0,0,0,2,0
"118",477000,670000,30557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"119",485000,158000,49502,0,9,0,0,0,0,0,1,0,2,0,2,6,0,21,0,0,1,0,6,89,1,0,0,0,2,0,0,1,1,0
"120",485000,230000,46838,0,4,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,1,0,78,106,0,0,0,0,0,0,0,0,0,0
